"Date","Match","Score","saison"
"29.08.2010","Stuttgart - Dortmund","1:3",2010
"28.08.2010","Eintracht Frankfurt - Hamburger SV","1:3",2010
"28.08.2010","Nurnberg - Freiburg","1:2",2010
"28.08.2010","Schalke - Hannover","1:2",2010
"28.08.2010","St. Pauli - Hoffenheim","0:1",2010
"28.08.2010","Werder Bremen - FC Koln","4:2",2010
"28.08.2010","Wolfsburg - Mainz","3:4",2010
"27.08.2010","Kaiserslautern - Bayern Munich","2:0",2010
"22.08.2010","Dortmund - Bayer Leverkusen","0:2",2010
"22.08.2010","Mainz - Stuttgart","2:0",2010
"21.08.2010","FC Koln - Kaiserslautern","1:3",2010
"21.08.2010","B. Monchengladbach - Nurnberg","1:1",2010
"21.08.2010","Freiburg - St. Pauli","1:3",2010
"21.08.2010","Hamburger SV - Schalke","2:1",2010
"21.08.2010","Hannover - Eintracht Frankfurt","2:1",2010
"21.08.2010","Hoffenheim - Werder Bremen","4:1",2010
"20.08.2010","Bayern Munich - Wolfsburg","2:1",2010
"05.05.2012","FC Koln - Bayern Munich","1:4",2011
"05.05.2012","Augsburg - Hamburger SV","1:0",2011
"05.05.2012","Dortmund - Freiburg","4:0",2011
"05.05.2012","Hannover - Kaiserslautern","2:1",2011
"05.05.2012","Hertha Berlin - Hoffenheim","3:1",2011
"05.05.2012","Mainz - B. Monchengladbach","0:3",2011
"05.05.2012","Nurnberg - Bayer Leverkusen","1:4",2011
"05.05.2012","Stuttgart - Wolfsburg","3:2",2011
"05.05.2012","Werder Bremen - Schalke","2:3",2011
"28.04.2012","Bayer Leverkusen - Hannover","1:0",2011
"28.04.2012","Bayern Munich - Stuttgart","2:0",2011
"28.04.2012","B. Monchengladbach - Augsburg","0:0",2011
"28.04.2012","Freiburg - FC Koln","4:1",2011
"28.04.2012","Hamburger SV - Mainz","0:0",2011
"28.04.2012","Hoffenheim - Nurnberg","2:3",2011
"28.04.2012","Kaiserslautern - Dortmund","2:5",2011
"28.04.2012","Schalke - Hertha Berlin","4:0",2011
"28.04.2012","Wolfsburg - Werder Bremen","3:1",2011
"22.04.2012","Augsburg - Schalke","1:1",2011
"22.04.2012","Hannover - Freiburg","0:0",2011
"21.04.2012","FC Koln - Stuttgart","1:1",2011
"21.04.2012","Dortmund - B. Monchengladbach","2:0",2011
"21.04.2012","Hertha Berlin - Kaiserslautern","1:2",2011
"21.04.2012","Hoffenheim - Bayer Leverkusen","0:1",2011
"21.04.2012","Nurnberg - Hamburger SV","1:1",2011
"21.04.2012","Werder Bremen - Bayern Munich","1:2",2011
"20.04.2012","Mainz - Wolfsburg","0:0",2011
"15.04.2012","B. Monchengladbach - FC Koln","3:0",2011
"15.04.2012","Freiburg - Hoffenheim","0:0",2011
"14.04.2012","Bayer Leverkusen - Hertha Berlin","3:3",2011
"14.04.2012","Bayern Munich - Mainz","0:0",2011
"14.04.2012","Hamburger SV - Hannover","1:0",2011
"14.04.2012","Kaiserslautern - Nurnberg","0:2",2011
"14.04.2012","Schalke - Dortmund","1:2",2011
"14.04.2012","Wolfsburg - Augsburg","1:2",2011
"13.04.2012","Stuttgart - Werder Bremen","4:1",2011
"11.04.2012","Bayer Leverkusen - Kaiserslautern","3:1",2011
"11.04.2012","Dortmund - Bayern Munich","1:0",2011
"11.04.2012","Hannover - Wolfsburg","2:0",2011
"11.04.2012","Hoffenheim - Hamburger SV","4:0",2011
"11.04.2012","Nurnberg - Schalke","4:1",2011
"10.04.2012","Augsburg - Stuttgart","1:3",2011
"10.04.2012","Hertha Berlin - Freiburg","1:2",2011
"10.04.2012","Mainz - FC Koln","4:0",2011
"10.04.2012","Werder Bremen - B. Monchengladbach","2:2",2011
"08.04.2012","Hamburger SV - Bayer Leverkusen","1:1",2011
"08.04.2012","Schalke - Hannover","3:0",2011
"07.04.2012","FC Koln - Werder Bremen","1:1",2011
"07.04.2012","Bayern Munich - Augsburg","2:1",2011
"07.04.2012","B. Monchengladbach - Hertha Berlin","0:0",2011
"07.04.2012","Freiburg - Nurnberg","2:2",2011
"07.04.2012","Kaiserslautern - Hoffenheim","1:2",2011
"07.04.2012","Stuttgart - Mainz","4:1",2011
"07.04.2012","Wolfsburg - Dortmund","1:3",2011
"01.04.2012","Hannover - B. Monchengladbach","2:1",2011
"01.04.2012","Hoffenheim - Schalke","1:1",2011
"31.03.2012","Augsburg - FC Koln","2:1",2011
"31.03.2012","Bayer Leverkusen - Freiburg","0:2",2011
"31.03.2012","Hertha Berlin - Wolfsburg","1:4",2011
"31.03.2012","Kaiserslautern - Hamburger SV","0:1",2011
"31.03.2012","Nurnberg - Bayern Munich","0:1",2011
"31.03.2012","Werder Bremen - Mainz","0:3",2011
"30.03.2012","Dortmund - Stuttgart","4:4",2011
"25.03.2012","FC Koln - Dortmund","1:6",2011
"25.03.2012","Stuttgart - Nurnberg","1:0",2011
"24.03.2012","Bayern Munich - Hannover","2:1",2011
"24.03.2012","B. Monchengladbach - Hoffenheim","1:2",2011
"24.03.2012","Freiburg - Kaiserslautern","2:0",2011
"24.03.2012","Mainz - Hertha Berlin","1:3",2011
"24.03.2012","Schalke - Bayer Leverkusen","2:0",2011
"24.03.2012","Werder Bremen - Augsburg","1:1",2011
"23.03.2012","Wolfsburg - Hamburger SV","2:1",2011
"18.03.2012","Hannover - FC Koln","4:1",2011
"18.03.2012","Kaiserslautern - Schalke","1:4",2011
"17.03.2012","Augsburg - Mainz","2:1",2011
"17.03.2012","Bayer Leverkusen - B. Monchengladbach","1:2",2011
"17.03.2012","Dortmund - Werder Bremen","1:0",2011
"17.03.2012","Hamburger SV - Freiburg","1:3",2011
"17.03.2012","Hertha Berlin - Bayern Munich","0:6",2011
"17.03.2012","Nurnberg - Wolfsburg","1:3",2011
"16.03.2012","Hoffenheim - Stuttgart","1:2",2011
"11.03.2012","Schalke - Hamburger SV","3:1",2011
"11.03.2012","Werder Bremen - Hannover","3:0",2011
"10.03.2012","FC Koln - Hertha Berlin","1:0",2011
"10.03.2012","Augsburg - Dortmund","0:0",2011
"10.03.2012","Bayern Munich - Hoffenheim","7:1",2011
"10.03.2012","B. Monchengladbach - Freiburg","0:0",2011
"10.03.2012","Mainz - Nurnberg","2:1",2011
"10.03.2012","Wolfsburg - Bayer Leverkusen","3:2",2011
"09.03.2012","Stuttgart - Kaiserslautern","0:0",2011
"04.03.2012","Hoffenheim - FC Koln","1:1",2011
"04.03.2012","Nurnberg - B. Monchengladbach","1:0",2011
"03.03.2012","Bayer Leverkusen - Bayern Munich","2:0",2011
"03.03.2012","Dortmund - Mainz","2:1",2011
"03.03.2012","Freiburg - Schalke","2:1",2011
"03.03.2012","Hamburger SV - Stuttgart","0:4",2011
"03.03.2012","Hannover - Augsburg","2:2",2011
"03.03.2012","Hertha Berlin - Werder Bremen","1:0",2011
"03.03.2012","Kaiserslautern - Wolfsburg","0:0",2011
"26.02.2012","Bayern Munich - Schalke","2:0",2011
"26.02.2012","Dortmund - Hannover","3:1",2011
"25.02.2012","FC Koln - Bayer Leverkusen","0:2",2011
"25.02.2012","Augsburg - Hertha Berlin","3:0",2011
"25.02.2012","Mainz - Kaiserslautern","4:0",2011
"25.02.2012","Stuttgart - Freiburg","4:1",2011
"25.02.2012","Werder Bremen - Nurnberg","0:1",2011
"25.02.2012","Wolfsburg - Hoffenheim","1:2",2011
"24.02.2012","B. Monchengladbach - Hamburger SV","1:1",2011
"19.02.2012","Hannover - Stuttgart","4:2",2011
"19.02.2012","Schalke - Wolfsburg","4:0",2011
"18.02.2012","Bayer Leverkusen - Augsburg","4:1",2011
"18.02.2012","Freiburg - Bayern Munich","0:0",2011
"18.02.2012","Hamburger SV - Werder Bremen","1:3",2011
"18.02.2012","Hertha Berlin - Dortmund","0:1",2011
"18.02.2012","Kaiserslautern - B. Monchengladbach","1:2",2011
"18.02.2012","Nurnberg - FC Koln","2:1",2011
"17.02.2012","Hoffenheim - Mainz","1:1",2011
"12.02.2012","FC Koln - Hamburger SV","0:1",2011
"12.02.2012","Augsburg - Nurnberg","0:0",2011
"11.02.2012","Bayern Munich - Kaiserslautern","2:0",2011
"11.02.2012","B. Monchengladbach - Schalke","3:0",2011
"11.02.2012","Dortmund - Bayer Leverkusen","1:0",2011
"11.02.2012","Mainz - Hannover","1:1",2011
"11.02.2012","Stuttgart - Hertha Berlin","5:0",2011
"11.02.2012","Werder Bremen - Hoffenheim","1:1",2011
"10.02.2012","Wolfsburg - Freiburg","3:2",2011
"05.02.2012","Freiburg - Werder Bremen","2:2",2011
"05.02.2012","Kaiserslautern - FC Koln","0:1",2011
"04.02.2012","Bayer Leverkusen - Stuttgart","2:2",2011
"04.02.2012","Hamburger SV - Bayern Munich","1:1",2011
"04.02.2012","Hertha Berlin - Hannover","0:1",2011
"04.02.2012","Hoffenheim - Augsburg","2:2",2011
"04.02.2012","Schalke - Mainz","1:1",2011
"04.02.2012","Wolfsburg - B. Monchengladbach","0:0",2011
"03.02.2012","Nurnberg - Dortmund","0:2",2011
"29.01.2012","Mainz - Freiburg","3:1",2011
"29.01.2012","Stuttgart - B. Monchengladbach","0:3",2011
